index,accuracy,macro,micro,positize_P,positize_R,positize_F,neutral_P,neutral_R,neutral_F,negative_P,negative_R,negative_F
0.1,0.7697516930022573,0.7745116795328532,0.7697516930022573,0.9537037037037037,0.673202614379085,0.789272030651341,0.6730769230769231,0.8235294117647058,0.7407407407407407,0.7716535433070866,0.8166666666666667,0.7935222672064778
0.2,0.7516930022573364,0.7556132990164225,0.7516930022573364,0.9363636363636364,0.673202614379085,0.7832699619771863,0.6454545454545455,0.8352941176470589,0.7282051282051282,0.7787610619469026,0.7333333333333333,0.7553648068669528
1.1,0.801354401805869,0.8030231573723524,0.801354401805869,0.9,0.8235294117647058,0.8600682593856656,0.7986577181208053,0.7,0.7460815047021944,0.7142857142857143,0.9166666666666666,0.8029197080291971
1.2,0.7652370203160271,0.7660349814329366,0.7652370203160271,0.7974683544303798,0.8235294117647058,0.8102893890675241,0.782608695652174,0.6352941176470588,0.7012987012987013,0.7142857142857143,0.875,0.7865168539325843
1.3,0.7855530474040632,0.7884830695540185,0.7855530474040632,0.8857142857142857,0.8104575163398693,0.8464163822525598,0.7365269461077845,0.7235294117647059,0.7299703264094956,0.7426470588235294,0.8416666666666667,0.7890625
1.4,0.744920993227991,0.7452745176679679,0.744920993227991,0.8473282442748091,0.7254901960784313,0.7816901408450704,0.6359649122807017,0.8529411764705882,0.7286432160804021,0.8809523809523809,0.6166666666666667,0.7254901960784313
1.5,0.7742663656884876,0.7771427629308872,0.7742663656884876,0.8759124087591241,0.7843137254901961,0.8275862068965517,0.7421383647798742,0.6941176470588235,0.7173252279635258,0.7142857142857143,0.875,0.7865168539325843
1.6,0.781038374717833,0.7831742664146629,0.781038374717833,0.8472222222222222,0.7973856209150327,0.8215488215488216,0.7733333333333333,0.6823529411764706,0.725,0.7248322147651006,0.9,0.8029739776951673
1.7,0.7878103837471784,0.7921901588342317,0.7878103837471784,0.9338842975206612,0.738562091503268,0.8248175182481752,0.7127659574468085,0.788235294117647,0.7486033519553073,0.7611940298507462,0.85,0.8031496062992126
2.1,0.8081264108352144,0.8095921759931611,0.8081264108352144,0.8904109589041096,0.8496732026143791,0.8695652173913043,0.7602339181286549,0.7647058823529411,0.7624633431085044,0.7777777777777778,0.8166666666666667,0.7967479674796748
2.2,0.7471783295711061,0.7492763127888891,0.7471783295711061,0.7575757575757576,0.8169934640522876,0.7861635220125787,0.7428571428571429,0.611764705882353,0.6709677419354839,0.7391304347826086,0.85,0.7906976744186046
2.3,0.7381489841986456,0.7328047684463762,0.7381489841986456,0.6995073891625616,0.9281045751633987,0.797752808988764,0.8365384615384616,0.5117647058823529,0.635036496350365,0.7205882352941176,0.8166666666666667,0.765625
2.4,0.7629796839729119,0.761935770636959,0.7629796839729119,0.873015873015873,0.7189542483660131,0.7885304659498208,0.6593886462882096,0.888235294117647,0.7568922305764411,0.875,0.6416666666666667,0.7403846153846154
2.5,0.7968397291196389,0.7997821160617501,0.7968397291196389,0.8985507246376812,0.8104575163398693,0.852233676975945,0.7560975609756098,0.7294117647058823,0.7425149700598802,0.7446808510638298,0.875,0.8045977011494253
2.6,0.7494356659142212,0.7511289533302312,0.7494356659142212,0.8059701492537313,0.7058823529411765,0.7526132404181185,0.6666666666666666,0.8352941176470589,0.741514360313316,0.8541666666666666,0.6833333333333333,0.7592592592592593
2.7,0.7765237020316027,0.7788253158639441,0.7765237020316027,0.8050314465408805,0.8366013071895425,0.8205128205128205,0.7619047619047619,0.6588235294117647,0.7066246056782335,0.7591240875912408,0.8666666666666667,0.8093385214007782
3.1,0.8419864559819413,0.8427680216678314,0.8419864559819413,0.8940397350993378,0.8823529411764706,0.8881578947368421,0.8220858895705522,0.788235294117647,0.8048048048048048,0.8062015503875969,0.8666666666666667,0.8353413654618473
3.2,0.8284424379232506,0.8279039517650656,0.8284424379232506,0.891156462585034,0.8562091503267973,0.8733333333333333,0.8271604938271605,0.788235294117647,0.8072289156626506,0.7611940298507462,0.85,0.8031496062992126
3.3,0.8465011286681715,0.8481047247300935,0.8465011286681715,0.9097222222222222,0.8562091503267973,0.8821548821548821,0.8165680473372781,0.8117647058823529,0.8141592920353983,0.8153846153846154,0.8833333333333333,0.848
3.4,0.7336343115124153,0.7279922313323866,0.7336343115124153,0.9259259259259259,0.6535947712418301,0.7662835249042146,0.602996254681648,0.9470588235294117,0.7368421052631579,0.9411764705882353,0.5333333333333333,0.6808510638297872
3.5,0.7990970654627539,0.8026191648696099,0.7990970654627539,0.8731343283582089,0.7647058823529411,0.8153310104529616,0.7340425531914894,0.8117647058823529,0.770949720670391,0.8181818181818182,0.825,0.8215767634854771
3.6,0.7155756207674944,0.7130207293049633,0.7155756207674944,0.8888888888888888,0.5751633986928104,0.6984126984126984,0.5904059040590406,0.9411764705882353,0.7256235827664399,0.9452054794520548,0.575,0.7150259067357513
3.7,0.7945823927765236,0.7974004520952876,0.7945823927765236,0.8592592592592593,0.7581699346405228,0.8055555555555556,0.7405405405405405,0.8058823529411765,0.7718309859154929,0.8048780487804879,0.825,0.8148148148148148
