index,accuracy,macro,micro,positize_P,positize_R,positize_F,neutral_P,neutral_R,neutral_F,negative_P,negative_R,negative_F
0.1,0.8,0.6616809116809117,0.8,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.2,0.3333333333333333,0.25,0.8461538461538461,0.8461538461538461,0.8461538461538461
0.2,0.8,0.7124819624819625,0.8,0.9375,0.7894736842105263,0.8571428571428571,0.25,0.6666666666666666,0.36363636363636365,1.0,0.8461538461538461,0.9166666666666666
1.1,0.8285714285714286,0.7521367521367521,0.8285714285714286,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.4,0.6666666666666666,0.5,0.9230769230769231,0.9230769230769231,0.9230769230769231
1.2,0.8285714285714286,0.7529239766081871,0.8285714285714286,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.4,0.6666666666666666,0.5,1.0,0.8461538461538461,0.9166666666666666
1.3,0.8285714285714286,0.6914080071974809,0.8285714285714286,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8461538461538461,0.8461538461538461,0.8461538461538461
1.4,0.7428571428571429,0.6676328502415458,0.7428571428571429,0.875,0.7368421052631579,0.8,0.2222222222222222,0.6666666666666666,0.3333333333333333,1.0,0.7692307692307693,0.8695652173913043
1.5,0.7714285714285715,0.6451851851851852,0.7714285714285715,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.9166666666666666,0.8461538461538461,0.88
1.6,0.8285714285714286,0.6868170426065162,0.8285714285714286,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.25,0.3333333333333333,0.2857142857142857,0.9166666666666666,0.8461538461538461,0.88
1.7,0.7428571428571429,0.6202702702702703,0.7428571428571429,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.2,0.3333333333333333,0.25,0.8333333333333334,0.7692307692307693,0.8
2.1,0.8285714285714286,0.7419919919919921,0.8285714285714286,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.3333333333333333,0.6666666666666666,0.4444444444444444,1.0,0.8461538461538461,0.9166666666666666
2.2,0.8,0.5726495726495727,0.8,0.85,0.8947368421052632,0.8717948717948718,0.0,0.0,0.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
2.3,0.7142857142857143,0.5101626016260162,0.7142857142857143,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.0,0.0,0.0,0.8181818181818182,0.6923076923076923,0.75
2.4,0.8,0.7043062200956939,0.8,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.2857142857142857,0.6666666666666666,0.4,1.0,0.6923076923076923,0.8181818181818182
2.5,0.7714285714285715,0.7010405053883314,0.7714285714285715,0.8,0.8421052631578947,0.8205128205128205,0.4,0.6666666666666666,0.5,0.9,0.6923076923076923,0.782608695652174
2.6,0.7142857142857143,0.6479700854700855,0.7142857142857143,0.8461538461538461,0.5789473684210527,0.6875,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.9230769230769231,0.9230769230769231,0.9230769230769231
2.7,0.7714285714285715,0.646936936936937,0.7714285714285715,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.2,0.3333333333333333,0.25,0.9166666666666666,0.8461538461538461,0.88
3.1,0.8285714285714286,0.7521367521367521,0.8285714285714286,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.4,0.6666666666666666,0.5,0.9230769230769231,0.9230769230769231,0.9230769230769231
3.2,0.8571428571428571,0.7820551378446116,0.8571428571428571,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.5,0.6666666666666666,0.5714285714285714,0.9166666666666666,0.8461538461538461,0.88
3.3,0.8285714285714286,0.6912186912186913,0.8285714285714286,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.25,0.3333333333333333,0.2857142857142857,0.9230769230769231,0.9230769230769231,0.9230769230769231
3.4,0.7142857142857143,0.6313131313131314,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.6153846153846154,0.7272727272727273
3.5,0.8285714285714286,0.7588522588522588,0.8285714285714286,0.85,0.8947368421052632,0.8717948717948718,0.5,0.6666666666666666,0.5714285714285714,0.9090909090909091,0.7692307692307693,0.8333333333333334
3.6,0.5714285714285714,0.5515551048005409,0.5714285714285714,0.8,0.42105263157894735,0.5517241379310345,0.21428571428571427,1.0,0.35294117647058826,0.8181818181818182,0.6923076923076923,0.75
3.7,0.8285714285714286,0.7073359073359073,0.8285714285714286,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.5,0.3333333333333333,0.4,0.8,0.9230769230769231,0.8571428571428571
