index,accuracy,macro,micro,positize_P,positize_R,positize_F,neutral_P,neutral_R,neutral_F,negative_P,negative_R,negative_F
0.1,0.8866666666666667,0.7056616332932123,0.8866666666666667,1.0,0.23076923076923078,0.375,0.8984375,0.9663865546218487,0.9311740890688259,0.7894736842105263,0.8333333333333334,0.8108108108108109
0.2,0.8866666666666667,0.7213500466512515,0.8866666666666667,0.8,0.3076923076923077,0.4444444444444444,0.8923076923076924,0.9747899159663865,0.9317269076305221,0.8666666666666667,0.7222222222222222,0.7878787878787878
1.1,0.8466666666666667,0.6837596484498549,0.8466666666666667,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.9067796610169492,0.8991596638655462,0.9029535864978903,0.6153846153846154,0.8888888888888888,0.7272727272727273
1.2,0.8266666666666667,0.6515079365079365,0.8266666666666667,0.3333333333333333,0.3076923076923077,0.32,0.8842975206611571,0.8991596638655462,0.8916666666666667,0.7647058823529411,0.7222222222222222,0.7428571428571429
1.3,0.86,0.6858535226956279,0.86,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.7222222222222222,0.7222222222222222,0.7222222222222222
1.4,0.84,0.5525641025641025,0.84,0.6666666666666666,0.15384615384615385,0.25,0.8368794326241135,0.9915966386554622,0.9076923076923077,1.0,0.3333333333333333,0.5
1.5,0.84,0.6516483516483517,0.84,0.375,0.23076923076923078,0.2857142857142857,0.8925619834710744,0.907563025210084,0.9,0.7142857142857143,0.8333333333333334,0.7692307692307693
1.6,0.86,0.6901123345567789,0.86,0.5714285714285714,0.3076923076923077,0.4,0.8951612903225806,0.9327731092436975,0.9135802469135802,0.7368421052631579,0.7777777777777778,0.7567567567567568
1.7,0.86,0.640578837947259,0.86,0.6666666666666666,0.15384615384615385,0.25,0.8828125,0.9495798319327731,0.9149797570850202,0.7368421052631579,0.7777777777777778,0.7567567567567568
2.1,0.8533333333333334,0.6826974195395247,0.8533333333333334,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.8943089430894309,0.9243697478991597,0.9090909090909091,0.6666666666666666,0.7777777777777778,0.717948717948718
2.2,0.7933333333333333,0.5932670742797326,0.7933333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.8728813559322034,0.865546218487395,0.869198312236287,0.7368421052631579,0.7777777777777778,0.7567567567567568
2.3,0.7933333333333333,0.6202279202279203,0.7933333333333333,0.23529411764705882,0.3076923076923077,0.26666666666666666,0.8869565217391304,0.8571428571428571,0.8717948717948718,0.7222222222222222,0.7222222222222222,0.7222222222222222
2.4,0.8266666666666667,0.5349819858769275,0.8266666666666667,0.4,0.15384615384615385,0.2222222222222222,0.8405797101449275,0.9747899159663865,0.9027237354085603,0.8571428571428571,0.3333333333333333,0.48
2.5,0.8533333333333334,0.6553748870822041,0.8533333333333334,0.6,0.23076923076923078,0.3333333333333333,0.8818897637795275,0.9411764705882353,0.9105691056910569,0.7222222222222222,0.7222222222222222,0.7222222222222222
2.6,0.8333333333333334,0.6007615572832964,0.8333333333333334,0.375,0.23076923076923078,0.2857142857142857,0.8507462686567164,0.957983193277311,0.9011857707509882,1.0,0.4444444444444444,0.6153846153846154
2.7,0.86,0.6924055368499813,0.86,0.4444444444444444,0.3076923076923077,0.36363636363636365,0.8951612903225806,0.9327731092436975,0.9135802469135802,0.8235294117647058,0.7777777777777778,0.8
3.1,0.8333333333333334,0.5640216910137229,0.8333333333333334,0.3333333333333333,0.07692307692307693,0.125,0.8560606060606061,0.9495798319327731,0.900398406374502,0.7333333333333333,0.6111111111111112,0.6666666666666666
3.2,0.86,0.6001097935880545,0.86,0.5,0.07692307692307693,0.13333333333333333,0.8656716417910447,0.9747899159663865,0.9169960474308301,0.8571428571428571,0.6666666666666666,0.75
3.3,0.86,0.6338762596672135,0.86,0.5,0.15384615384615385,0.23529411764705882,0.8712121212121212,0.9663865546218487,0.9163346613545816,0.8571428571428571,0.6666666666666666,0.75
3.4,0.8066666666666666,0.4079664570230608,0.8066666666666666,0.5,0.07692307692307693,0.13333333333333333,0.8082191780821918,0.9915966386554622,0.8905660377358491,1.0,0.1111111111111111,0.2
3.5,0.84,0.6018856126259423,0.84,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.8692307692307693,0.9495798319327731,0.9076305220883534,0.7857142857142857,0.6111111111111112,0.6875
3.6,0.82,0.4217171717171717,0.82,0.0,0.0,0.0,0.8206896551724138,1.0,0.9015151515151515,1.0,0.2222222222222222,0.36363636363636365
3.7,0.8666666666666667,0.6610845054867825,0.8666666666666667,0.75,0.23076923076923078,0.35294117647058826,0.8721804511278195,0.9747899159663865,0.9206349206349206,0.8461538461538461,0.6111111111111112,0.7096774193548387
